prefix,vendor,source,confidence,alt_sources,alt_vendors
001A6F,MI.TEL s.r.l.,ieee,1.0,"wireshark,nmap",MITEL | MI.TEL s.r.l.
001A70,"Cisco-Linksys, LLC",ieee,1.0,"wireshark,nmap",CiscoLinksys | Cisco-Linksys
001A71,"Diostech Co., Ltd.",ieee,1.0,"wireshark,nmap",Diostech | Diostech
001A72,Mosart Semiconductor Corp.,ieee,1.0,"wireshark,nmap",MosartSemico | Mosart Semiconductor
001A73,"Gemtek Technology Co., Ltd.",ieee,1.0,"wireshark,nmap",GemtekTechno | Gemtek Technology
001A74,Procare International Co,ieee,1.0,"wireshark,nmap",ProcareInter | Procare International
001A75,Sony Corporation,ieee,1.0,"wireshark,nmap",Sony | Sony
001A76,"SDT information Technology Co.,LTD.",ieee,1.0,"wireshark,nmap",SDTinformati | SDT information Technology
001A77,Commscope,ieee,1.0,"wireshark,nmap",Commscope | Commscope
001A78,ubtos,ieee,1.0,"wireshark,nmap",ubtos | ubtos
001A79,TELECOMUNICATION TECHNOLOGIES LTD.,ieee,1.0,"wireshark,nmap",Telecomunica | Telecomunication Technologies
001A7A,Lismore Instruments Limited,ieee,1.0,"wireshark,nmap",LismoreInstr | Lismore Instruments Limited
001A7B,"Teleco, Inc.",ieee,1.0,"wireshark,nmap",Teleco | Teleco
001A7C,Hirschmann Multimedia B.V.,ieee,1.0,"wireshark,nmap",HirschmannMu | Hirschmann Multimedia
001A7D,cyber-blue(HK)Ltd,ieee,1.0,"wireshark,nmap",cyberblueLtd | cyber-blue(HK)Ltd
001A7E,LN Srithai Comm Ltd.,ieee,1.0,"wireshark,nmap",LNSrithaiCom | LN Srithai Comm
001A7F,"GCI Science & Technology Co.,LTD",ieee,1.0,"wireshark,nmap",GCIScienceTe | GCI Science & Technology
001A80,Sony Corporation,ieee,1.0,"wireshark,nmap",Sony | Sony
001A81,Zelax,ieee,1.0,"wireshark,nmap",Zelax | Zelax
001A82,"PROBA Building Automation Co.,LTD",ieee,1.0,"wireshark,nmap",PROBABuildin | Proba Building Automation
001A83,Pegasus Technologies Inc.,ieee,1.0,"wireshark,nmap",PegasusTechn | Pegasus Technologies
001A84,V One Multimedia Pte Ltd,ieee,1.0,"wireshark,nmap",VOneMultimed | V One Multimedia Pte
001A85,NV Michel Van de Wiele,ieee,1.0,"wireshark,nmap",NVMichelVand | NV Michel Van de Wiele
001A86,New Wave Design & Verification,ieee,1.0,"wireshark,nmap",NewWaveDesig | New Wave Design & Verification
001A87,Canhold International Limited,ieee,1.0,"wireshark,nmap",CanholdInter | Canhold International Limited
001A88,"Venergy,Co,Ltd",ieee,1.0,"wireshark,nmap",Venergy | Venergy
001A89,Nokia Danmark A/S,ieee,1.0,"wireshark,nmap",NokiaDanmark | Nokia Danmark A/S
001A8A,"Samsung Electronics Co.,Ltd",ieee,1.0,"wireshark,nmap",SamsungElect | Samsung Electronics
